Time (d);LTC 101;LTC 102;LTC 103
0;1.2;1.2;1.2
0.09999999999999999;1.2;1.2;1.2
0.19999999999999998;1.2;1.2;1.2
0.30000000000000004;1.2;1.2;1.2
0.39999999999999997;1.2;1.2;1.2
0.5;1.2;1.2;1.2
0.6000000000000001;1.2;1.2;1.2
0.7000000000000001;1.2;1.2;1.2
0.7999999999999999;1.2;1.2;1.2
0.8999999999999999;1.2;1.2;1.2
1;1.2;1.2;1.2
1.1;1.2;1.2;1.2
1.2000000000000002;1.2;1.2;1.2
1.3;1.2;1.2;1.2
1.4000000000000001;1.2;1.2;1.2
1.5;1.2;1.2;1.2
1.5999999999999999;1.2;1.2;1.2
1.7000000000000002;1.2;1.2;1.2
1.7999999999999998;1.2;1.2;1.2
1.9;1.2;1.2;1.2
2;1.2;1.2;1.2
2.1;1.2;1.2;1.2
2.2;1.2;1.2;1.2
2.3000000000000003;1.2;1.2;1.2
2.4000000000000004;1.2;1.2;1.2
2.5;1.2;1.2;1.2
2.6;1.2;1.2;1.2
2.7;1.2;1.2;1.2
2.8000000000000003;1.2;1.2;1.2
2.9000000000000004;1.2;1.2;1.2
3;1.2;1.2;1.2
3.0999999999999996;1.2;1.2;1.2
3.1999999999999997;1.2;1.2;1.2
3.3;1.2;1.2;1.2
3.4000000000000004;1.2;1.2;1.2
3.5;1.2;1.2;1.2
3.5999999999999996;1.2;1.2;1.2
3.6999999999999997;1.2;1.2;1.2
3.8;1.2;1.2;1.2
3.9000000000000004;1.2;1.2;1.2
4;1.2;1.2;1.2
4.1000000000000005;1.2;1.2;1.2
4.2;1.2;1.2;1.2
4.3;1.2;1.2;1.2
4.4;1.2;1.2;1.2
4.5;1.2;1.2;1.2
4.6000000000000005;1.2;1.2;1.2
4.7;1.2;1.2;1.2
4.800000000000001;1.2;1.2;1.2
4.9;1.2;1.2;1.2
5;1.2;1.2;1.2
5.1000000000000005;1.2;1.2;1.2
5.2;1.2;1.2;1.2
5.300000000000001;1.2;1.2;1.2
5.4;1.2;1.2;1.2
5.5;1.2;1.2;1.2
5.6000000000000005;1.2;1.2;1.2
5.699999999999999;1.2;1.2;1.2
5.800000000000001;1.2;1.2;1.2
5.9;1.2;1.2;1.2
6;1.2;1.2;1.2
6.1;1.2;1.2;1.2
6.199999999999999;1.2;1.2;1.2
6.300000000000001;1.2;1.2;1.2
6.3999999999999995;1.2;1.2;1.2
6.5;1.2;1.2;1.2
6.6;1.2;1.2;1.2
6.699999999999999;1.2;1.2;1.2
6.800000000000001;1.2;1.2;1.2
6.8999999999999995;1.2;1.2;1.2
7;1.2;1.2;1.2
7.1;1.2;1.2;1.2
7.199999999999999;1.2;1.2;1.2
7.300000000000001;1.2;1.2;1.2
7.3999999999999995;1.2;1.2;1.2
7.5;1.2;1.2;1.2
7.6;1.2;1.2;1.2
7.699999999999999;1.2;1.2;1.2
7.800000000000001;1.2;1.2;1.2
7.8999999999999995;1.2;1.2;1.2
8;1.2;1.2;1.2
8.1;1.2;1.2;1.2
8.200000000000001;1.2;1.2;1.2
8.3;1.2;1.2;1.2
8.4;1.2;1.2;1.2
8.5;1.2;1.2;1.2
8.6;1.2;1.2;1.2
8.700000000000001;1.2;1.2;1.2
8.8;1.2;1.2;1.2
8.9;1.2;1.2;1.2
9;1.2;1.2;1.2
9.1;1.2;1.2;1.2
9.200000000000001;1.2;1.2;1.2
9.3;1.2;1.2;1.2
9.4;1.2;1.2;1.2
9.5;1.2;1.2;1.2
9.600000000000001;1.2;1.2;1.2
9.700000000000001;1.2;1.2;1.2
9.8;1.2;1.2;1.2
9.9;1.2;1.2;1.2
10;1.2;1.2;1.2
10.100000000000001;1.2;1.2;1.2
10.200000000000001;1.2;1.2;1.2
10.3;1.2;1.2;1.2
10.4;1.2;1.2;1.2
10.5;1.2;1.2;1.2
10.600000000000001;1.2;1.2;1.2
10.700000000000001;1.2;1.2;1.2
10.8;1.2;1.2;1.2
10.899999999999999;1.2;1.2;1.2
11;1.2;1.2;1.2
11.100000000000001;1.2;1.2;1.2
11.200000000000001;1.2;1.2;1.2
11.3;1.2;1.2;1.2
11.399999999999999;1.2;1.2;1.2
11.5;1.2;1.2;1.2
11.600000000000001;1.2000000058213338;1.2000000018793144;1.2000000006657154
11.700000000000001;1.2000000769996892;1.200000025568863;1.2000000090810377
11.8;1.2000006094927722;1.200000211971469;1.2000000754647138
11.899999999999999;1.2000030593055928;1.200001136443003;1.2000004053371838
12;1.200010564091748;1.20000423584562;1.2000015238315151
12.100000000000001;1.2000265932435887;1.2000114495667233;1.2000042146019767
12.2;1.200055332280485;1.200025566784089;1.200009656513705
12.299999999999999;1.2001025796678222;1.2000510264625481;1.2000197197675224
12.399999999999999;1.2001726164402913;1.2000919012972178;1.2000365783393159
12.5;1.2002627142971616;1.2001473056659446;1.2000605723596214
12.600000000000001;1.2003697438755143;1.2002156296628623;1.2000916183753543
12.7;1.2004917365234637;1.2002961286462217;1.2001302439476265
12.799999999999999;1.200627130799499;1.2003878468502653;1.2001767888346533
12.899999999999999;1.2007858451554476;1.2004962099070304;1.200234458111706
13;1.2009931600492336;1.2006370222407037;1.200311661112772
13.100000000000001;1.2012785558695274;1.2008315730916277;1.2004204277267467
13.2;1.2016693218666925;1.2011022726718519;1.2005745703924282
13.299999999999999;1.202198830754362;1.201478359856999;1.200793126704781
13.399999999999999;1.2028475401629668;1.2019482459167803;1.2010702186593798
13.5;1.2036228348776;1.2025205865472766;1.2014125871335521
13.600000000000001;1.2045240528040468;1.2031980882690514;1.201824069440934
13.7;1.2055390783934403;1.2039741623914544;1.2023033335204298
13.799999999999999;1.2066611235844167;1.2048497448329492;1.2028568021136554
13.899999999999999;1.2078629289992888;1.2058111318986107;1.2034818797830822
14;1.2091190795751157;1.206848854279684;1.2041799588112516
14.100000000000001;1.210397284521587;1.2079446629620618;1.2049451334049168
14.2;1.2116551198191414;1.2090785605676748;1.2057773782361787
14.299999999999999;1.2128762677083618;1.2102186923826037;1.2066435126165296
14.399999999999999;1.2140247562816722;1.2113421001977427;1.207536728082099
14.5;1.2150930167581195;1.2124296822379692;1.2084358719433397
14.600000000000001;1.2160570412406007;1.2134557574161147;1.2093215994351174
14.7;1.2169024667650243;1.2143970141379474;1.2101702108626833
14.799999999999999;1.2176458146907407;1.2152568078453818;1.210973815551654
14.899999999999999;1.2182456619589337;1.2159898621487288;1.211694083667885
15;1.2187974557600436;1.2166788640209907;1.2123837042926484
15.100000000000001;1.2192543522704435;1.2172777467137015;1.2130073776086512
15.2;1.219615434500202;1.2177810171094243;1.2135562057250813
15.299999999999999;1.2198610228251814;1.2181626163014219;1.2140027932466586
15.399999999999999;1.2199963943272134;1.2184237012255137;1.2143428538381678
15.5;1.2201272133002916;1.2186797892362433;1.2146784769520897
15.600000000000001;1.2202058577284889;1.2188782323693905;1.214962449161032
15.7;1.2202229374765696;1.2190074472861865;1.2151833647436028
15.799999999999999;1.2201898828530229;1.2190757267984198;1.215346921000716
15.899999999999999;1.2201460977260739;1.2191145213392771;1.2154711452103715
16;1.2201806311881873;1.219198347796275;1.2156036258611296
16.1;1.2204037435948223;1.2194195702823345;1.2158056989043582
16.2;1.2209102211220204;1.2198624807825953;1.2161359183019729
16.3;1.2217778620442485;1.2206106041545661;1.2166484481090885
16.400000000000002;1.223084594183278;1.2217730692592952;1.217405480721362
16.5;1.2249404919541182;1.2235631521067976;1.218510249576897
16.6;1.2276224169820724;1.2264099772134254;1.2201767251349904
16.7;1.2313400744895497;1.2304987359855113;1.2225818972767646
16.8;1.2362379359789186;1.2359508478852488;1.2258205352456206
16.900000000000002;1.2424981628670417;1.2429140531051777;1.2300260172867319
17;1.2499096308549758;1.251000160031335;1.2351398380758971
17.1;1.2579872860284382;1.2595980064248595;1.2409018151315951
17.2;1.2662362734417079;1.2682076559147843;1.246979838047755
17.3;1.2742017392393628;1.2763942964187487;1.2531071919869632
17.400000000000002;1.281674386636116;1.2840250097558081;1.2590836533383813
17.5;1.2887504289192189;1.2912337481333527;1.264899681881423
17.6;1.2952360474229383;1.297836793921121;1.2704405007763933
17.7;1.301113042075505;1.3038300887105032;1.2756600520179093
17.8;1.3063615620952562;1.3091981657676366;1.280520227986612
17.900000000000002;1.3109712461693162;1.3139308706319408;1.2849859428358401
18;1.3149581432317472;1.318044754317116;1.2890389739480277
18.1;1.318336170488127;1.3215571071880203;1.2926677156294168
18.2;1.321100423807658;1.3244686881203755;1.2958403781725736
18.3;1.3233320435857758;1.3268596098333179;1.2985928655543963
18.400000000000002;1.325164514957976;1.3288570370229644;1.3010162018688167
18.5;1.3265738476273967;1.3304305956718514;1.303075447893895
18.6;1.327582063630418;1.3315925492641225;1.3047741603738423
18.7;1.3282119205946057;1.3323572463825764;1.30612101682779
18.8;1.3284861196501083;1.3327376416332533;1.3071247365328469
18.900000000000002;1.3284180893677886;1.3327402058062496;1.3077913468681468
19;1.328014614432453;1.3323665815725205;1.3081259292222194
