day;rain (mm)
0;0
1;0
2;0
3;0
4;0
5;0
6;7,4
7;0
8;0
9;3
10;0,4
11;0
12;0,6
13;4,2
14;0
15;0
16;14,4
17;1,4
18;0
19;0
20;0
21;0
22;2,8
23;4,4
24;7,4
25;1,6
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;2,6
35;0
36;0
37;0
38;0
39;0
40;0
41;15,8
42;1
43;5,2
44;0
45;0
46;0
47;0
48;0
49;14,5
50;15,4
51;1,4
52;2
53;0,4
54;0
55;0
56;6,2
57;1,4
58;0
59;0,6
60;0
61;0
62;12
63;0
64;0
65;0,2
66;7,4
67;0,4
68;27,6
69;0
70;4,8
71;0
72;1,4
73;13,4
74;0,4
75;0
76;7,4
77;1,2
78;0
79;0
80;0,2
81;0,4
82;4,8
83;2,8
84;0
85;0
86;0
87;0
88;0
89;4,8
90;5
91;1,2
92;0,2
93;0,8
94;0
95;23
96;0,2
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;21,6
106;4,8
107;5,2
108;6,4
109;2,2
110;0
111;0
112;5,4
113;0
114;0
115;0
116;0
117;0
118;0
119;1,8
120;0
121;0,6
122;52,4
123;7,2
124;0,8
125;12,4
126;1,2
127;0
128;0
129;0
130;0
131;0
132;4,2
133;0,4
134;0,4
135;2
136;0
137;0
138;0
139;79,2
140;2,8
141;0
142;0
143;0
144;1
145;2
146;0
147;0
148;0
149;4
150;0
151;0
152;0
153;16,4
154;1,2
155;0
156;0
157;0
158;0
159;0,6
160;9,8
161;0
162;0
163;0
164;1,8
165;4,8
166;0
167;0
168;4,6
169;154
170;0,4
171;1,2
172;0
173;0
174;0
175;0
176;0
177;3
178;1
179;22,8
180;2,1
181;23,2
182;0,8
183;0
184;0
185;2,4
186;0
187;7,2
188;0
189;0
190;0
191;9,4
192;7,2
193;0
194;0
195;0
196;0
197;0
198;18,2
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;0
211;0
212;0
213;0
214;9,8
215;0
216;11,2
217;7
218;0
219;0
220;0
221;0
222;0
223;3,2
224;0,2
225;0,4
226;0
227;2,4
228;0
229;0
230;0,2
231;0
232;1,6
233;0,2
234;0
235;4,6
236;2,4
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;2,2
245;0
246;0,8
247;0,2
248;0
249;0
250;6,6
251;0
252;0
253;3,4
254;0
255;0
256;6,4
257;0
258;0
259;1
260;0,8
261;0
262;0,2
263;18,6
264;0
265;0
266;0
267;0
268;0
269;0
270;1,4
271;0
272;0
273;2,6
274;4,6
275;0
276;0
277;0
278;6,2
279;0
280;4,4
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;8,2
293;29
294;0,2
295;0
296;0
297;0
298;0
299;6,4
300;3
301;0
302;0
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;0,4
311;4,4
312;5,6
313;0
315;0
