time_hours,LTC 1 (x=8.0m)_elevation_m,LTC 2 (x=10.0m)_elevation_m,LTC 3 (x=12.5m)_elevation_m,LTC 1 (x=8.0m)_depth_m,LTC 2 (x=10.0m)_depth_m,LTC 3 (x=12.5m)_depth_m
0.0,1.2,1.2,1.2,3.8,3.8,3.8
0.5,1.1989115334628992,1.1988339553841734,1.1990149212678676,3.8010884665371005,3.801166044615827,3.8009850787321326
1.0,1.1993939487160177,1.199283340975075,1.1994894342717206,3.8006060512839825,3.800716659024925,3.8005105657282794
1.5,1.1995359200660503,1.199424322095703,1.1996206505893399,3.80046407993395,3.800575677904297,3.80037934941066
2.0,1.1996077280916773,1.199500604288322,1.1996834502366334,3.800392271908323,3.800499395711678,3.800316549763367
2.5,1.1996529669533438,1.1995519207752758,1.1997211676489203,3.8003470330466564,3.800448079224724,3.8002788323510797
3.0,1.1996852644264766,1.199590734410443,1.1997470620259212,3.800314735573523,3.8004092655895567,3.800252937974079
3.5,1.199710251831014,1.1996221776499816,1.1997665129159412,3.8002897481689857,3.8003778223500184,3.800233487084059
4.0,1.1997305902972362,1.199648792606531,1.1997819887614505,3.800269409702764,3.800351207393469,3.8002180112385497
4.5,1.1997476929329471,1.1996718638660375,1.1997947839945866,3.800252307067053,3.8003281361339623,3.8002052160054136
5.0,1.199762394726309,1.1996921662771904,1.1998056498840526,3.800237605273691,3.8003078337228096,3.800194350115947
5.5,1.1997752305902436,1.199710208824297,1.1998150573051314,3.8002247694097564,3.800289791175703,3.8001849426948686
6.0,1.1997865100575495,1.1997262408482448,1.1998232695043756,3.8002134899424505,3.8002737591517555,3.8001767304956244
6.5,1.1997965639777823,1.1997407195371046,1.1998305625585333,3.8002034360222177,3.800259280462895,3.8001694374414665
7.0,1.1998055885574508,1.1997538016401936,1.1998371015116536,3.800194411442549,3.8002461983598064,3.800162898488346
7.5,1.1998137344227497,1.1997656592522823,1.199843005110181,3.80018626557725,3.8002343407477177,3.800156994889819
8.0,1.1998211238503689,1.1997764385779655,1.1998483678741438,3.800178876149631,3.8002235614220345,3.800151632125856
8.5,1.1998278365783486,1.1997862417133702,1.1998532448414356,3.800172163421651,3.8002137582866298,3.8001467551585644
9.0,1.1998339737733528,1.199795197521568,1.1998577169608742,3.8001660262266475,3.800204802478432,3.8001422830391256
9.5,1.1998396121646415,1.1998034096232535,1.1998618420547709,3.8001603878353585,3.8001965903767463,3.800138157945229
10.0,1.1998448078313155,1.1998109573000864,1.1998656590563626,3.8001551921686847,3.8001890426999134,3.8001343409436377
10.5,1.1998496096692357,1.1998179097964865,1.199869202291537,3.8001503903307645,3.8001820902035135,3.800130797708463
11.0,1.1998540601321013,1.1998243285915067,1.199872501477933,3.8001459398678987,3.8001756714084935,3.800127498522067
11.5,1.1998581962347066,1.1998302681450501,1.199875582428711,3.8001418037652934,3.80016973185495,3.800124417571289
12.0,1.1998620503330317,1.199835776695507,1.1998784676158285,3.8001379496669685,3.8001642233044928,3.8001215323841713
12.5,1.1998656507902832,1.1998408969734573,1.1998811766686437,3.800134349209717,3.8001591030265427,3.8001188233313563
13.0,1.1998690225373707,1.1998456668505812,1.1998837267918856,3.8001309774626293,3.8001543331494188,3.8001162732081144
13.5,1.1998721875470149,1.1998501199215994,1.1998861331158552,3.800127812452985,3.8001498800784006,3.8001138668841445
14.0,1.1998751652352244,1.1998542860214154,1.1998884089893778,3.800124834764776,3.8001457139785844,3.800111591010622
14.5,1.199877972801715,1.199858191680947,1.1998905662251715,3.800122027198285,3.800141808319053,3.8001094337748285
15.0,1.1998806255191115,1.1998618605267546,1.199892615305928,3.8001193744808885,3.8001381394732454,3.800107384694072
15.5,1.1998831369793368,1.1998653136303485,1.1998945655580942,3.800116863020663,3.8001346863696517,3.800105434441906
16.0,1.1998855193042588,1.1998685698131473,1.1998964252991484,3.800114480695741,3.8001314301868527,3.8001035747008514
16.5,1.199887783326466,1.1998716459127028,1.199898201963065,3.8001122166735337,3.800128354087297,3.800101798036935
17.0,1.1998899387450022,1.1998745570152611,1.1998999022077663,3.8001100612549976,3.800125442984739,3.8001000977922335
17.5,1.199891994260025,1.1998773166591146,1.1999015320076083,3.800108005739975,3.800122683340885,3.8000984679923917
18.0,1.1998939576896428,1.1998799370126219,1.1999030967333555,3.8001060423103574,3.800120062987378,3.8000969032666445
18.5,1.1998958360716045,1.199882429030237,1.1999046012216272,3.8001041639283955,3.800117570969763,3.8000953987783728
19.0,1.1998976357520608,1.1998848025894333,1.1999060498354304,3.8001023642479392,3.800115197410567,3.8000939501645696
19.5,1.199899362463235,1.199887066611001,1.1999074465170942,3.800100637536765,3.800112933388999,3.800092553482906
20.0,1.1999010213915475,1.1998892291648569,1.1999087948347005,3.8000989786084522,3.8001107708351434,3.8000912051652995
20.5,1.1999026172374825,1.1998912975632101,1.1999100980229054,3.8000973827625177,3.80010870243679,3.8000899019770946
21.0,1.1999041542682947,1.19989327844268,1.199911359018915,3.8000958457317053,3.80010672155732,3.800088640981085
21.5,1.1999056363644833,1.1998951778367433,1.1999125804942428,3.800094363635517,3.8001048221632567,3.8000874195057572
22.0,1.1999070670608292,1.1998970012397119,1.1999137648827918,3.8000929329391706,3.800102998760288,3.8000862351172082
22.5,1.199908449582671,1.1998987536632781,1.1999149144057186,3.8000915504173287,3.800101246336722,3.800085085594281
23.0,1.1999097868780126,1.1999004396865387,1.1999160310934696,3.8000902131219876,3.8000995603134613,3.8000839689065304
23.5,1.199911081645965,1.1999020635002835,1.1999171168053353,3.800088918354035,3.8000979364997165,3.8000828831946647
24.0,1.1999123363619668,1.1999036289462468,1.1999181732468107,3.800087663638033,3.800096371053753,3.800081826753189
24.5,1.1999135533001672,1.199905139551921,1.1999192019850233,3.800086446699833,3.800094860448079,3.8000807980149767
25.0,1.1999147345533085,1.1999065985614685,1.1999202044624506,3.8000852654466915,3.8000934014385317,3.8000797955375494
25.5,1.1999158820504017,1.1999080089631955,1.1999211820091258,3.8000841179495986,3.8000919910368047,3.800078817990874
26.0,1.1999169975724566,1.1999093735139956,1.1999221358535075,3.8000830024275434,3.8000906264860044,3.8000778641464925
26.5,1.1999180827664955,1.1999106947611253,1.1999230671321646,3.8000819172335047,3.800089305238875,3.800076932867835
27.0,1.1999191391580468,1.1999119750616265,1.199923976898413,3.800080860841953,3.8000880249383737,3.800076023101587
27.5,1.1999200936038892,1.199913132735199,1.1999248017891502,3.800079906396111,3.8000868672648007,3.80007519821085
28.0,1.1999210832831593,1.1999143269309422,1.1999256585546767,3.8000789167168407,3.8000856730690575,3.800074341445323
28.5,1.199922044122088,1.1999154793988918,1.1999264929797286,3.800077955877912,3.800084520601108,3.8000735070202714
29.0,1.1999229817958428,1.1999165986971534,1.1999273098722836,3.800077018204157,3.800083401302847,3.8000726901277164
29.5,1.199923897579282,1.199917687112221,1.1999281101713413,3.800076102420718,3.800082312887779,3.8000718898286587
30.0,1.199924792582553,1.1999187464640055,1.1999288946845315,3.8000752074174473,3.8000812535359945,3.8000711053154683
30.5,1.1999256677405714,1.1999197782507083,1.1999296640690436,3.8000743322594284,3.8000802217492917,3.8000703359309567
31.0,1.1999265238892656,1.199920783790629,1.1999304189044273,3.800073476110734,3.800079216209371,3.8000695810955727
31.5,1.1999273617939918,1.1999217642794788,1.1999311597177582,3.800072638206008,3.8000782357205214,3.8000688402822416
32.0,1.199928182165196,1.1999227208200867,1.1999318869972722,3.8000718178348043,3.8000772791799133,3.8000681130027276
32.5,1.1999289856676645,1.1999236544394192,1.1999326011998543,3.8000710143323353,3.800076345560581,3.8000673988001457
33.0,1.199929772926526,1.199924566099313,1.1999333027557129,3.800070227073474,3.800075433900687,3.8000666972442874
33.5,1.1999305445315323,1.199925456703891,1.1999339920715104,3.800069455468468,3.800074543296109,3.8000660079284896
34.0,1.199931301040305,1.1999263271051073,1.1999346695326825,3.800068698959695,3.800073672894893,3.8000653304673175
34.5,1.1999320429809703,1.1999271781071499,1.1999353355052431,3.8000679570190297,3.80007282189285,3.800064664494757
35.0,1.1999327708543697,1.1999280104701155,1.1999359903372857,3.8000672291456303,3.8000719895298847,3.800064009662714
35.5,1.1999334851359857,1.199928824913178,1.1999366343602609,3.8000665148640143,3.800071175086822,3.800063365639739
36.0,1.1999341862776474,1.1999296221173865,1.199937267890107,3.8000658137223526,3.8000703778826135,3.800062732109893
36.5,1.1999348747090668,1.1999304027281807,1.1999378912282572,3.800065125290933,3.8000695972718193,3.8000621087717428
37.0,1.199935550839237,1.1999311673576742,1.1999385046625521,3.8000644491607627,3.8000688326423258,3.800061495337448
37.5,1.1999362150577118,1.1999319165867468,1.1999391084680733,3.8000637849422882,3.800068083413253,3.8000608915319267
38.0,1.1999368677357836,1.1999326509669719,1.199939702907908,3.800063132264216,3.800067349033028,3.800060297092092
38.5,1.1999375092275733,1.1999333710223956,1.199940288233854,3.8000624907724267,3.8000666289776044,3.800059711766146
39.0,1.1999381398710376,1.199934077251191,1.1999408646870722,3.800061860128962,3.800065922748809,3.800059135312928
39.5,1.1999387599889062,1.199934770127191,1.1999414324986897,3.800061240011094,3.800065229872809,3.8000585675013103
40.0,1.1999393698895524,1.1999354501013177,1.1999419918903615,3.8000606301104476,3.800064549898682,3.8000580081096382
40.5,1.199939969867805,1.1999361176029153,1.1999425430747928,3.8000600301321947,3.800063882397085,3.8000574569252072
41.0,1.1999405602057036,1.199936773040992,1.1999430862562244,3.800059439794296,3.800063226959008,3.8000569137437754
41.5,1.199941141173206,1.1999374168053807,1.199943621630888,3.800058858826794,3.8000625831946193,3.8000563783691117
42.0,1.1999417130288477,1.1999380492678253,1.1999441493874288,3.8000582869711526,3.8000619507321747,3.800055850612571
42.5,1.1999422760203595,1.1999386707829955,1.199944669707302,3.8000577239796405,3.8000613292170042,3.800055330292698
43.0,1.1999428303852455,1.199939281689437,1.1999451827651444,3.8000571696147545,3.8000607183105632,3.8000548172348556
43.5,1.1999433763513248,1.1999398823104626,1.1999456887291218,3.8000566236486755,3.8000601176895374,3.8000543112708782
44.0,1.1999439141372394,1.199940472954986,1.1999461877612543,3.8000560858627606,3.800059527045014,3.8000538122387457
44.5,1.1999444439529303,1.1999410539183062,1.199946680017724,3.8000555560470697,3.800058946081694,3.800053319982276
45.0,1.1999449660000865,1.1999416254828397,1.1999471656491614,3.8000550339999135,3.8000583745171603,3.8000528343508386
45.5,1.199945480472564,1.1999421879188128,1.1999476448009159,3.800054519527436,3.800057812081187,3.8000523551990844
46.0,1.1999459875567822,1.1999427414849075,1.1999481176133115,3.800054012443218,3.8000572585150927,3.8000518823866885
46.5,1.199946487432096,1.199943286428872,1.199948584221885,3.800053512567904,3.800056713571128,3.800051415778115
47.0,1.1999469802711469,1.1999438229880928,1.1999490447576138,3.8000530197288533,3.800056177011907,3.8000509552423862
47.5,1.199947466240192,1.1999443513901338,1.1999494993471267,3.800052533759808,3.800055648609866,3.8000505006528735
48.0,1.1999479454994166,1.1999448718532437,1.199949948112908,3.8000520545005836,3.8000551281467563,3.800050051887092
48.5,1.199948418203227,1.1999453845868338,1.199950391173485,3.8000515817967733,3.800054615413166,3.800049608826515
49.0,1.199948884500528,1.199945889791928,1.1999508286436094,3.800051115499472,3.8000541102080723,3.800049171356391
49.5,1.1999493445349845,1.1999463876615875,1.1999512606344265,3.8000506554650153,3.8000536123384125,3.8000487393655735
50.0,1.1999497984452696,1.1999468783813108,1.1999516872536358,3.8000502015547304,3.8000531216186895,3.8000483127463642
50.5,1.1999502463652971,1.1999473621294119,1.1999521086056433,3.8000497536347027,3.8000526378705883,3.8000478913943567
51.0,1.1999506884244429,1.199947839077376,1.1999525247917058,3.800049311575557,3.800052160922624,3.8000474752082942
51.5,1.1999509596765052,1.1999481313368237,1.1999527791641893,3.8000490403234948,3.8000518686631763,3.8000472208358107
52.0,1.1999514844694052,1.199948697623919,1.199953274405932,3.8000485155305945,3.800051302376081,3.800046725594068
52.5,1.1999517623252787,1.1999489965554657,1.199953535488276,3.800048237674721,3.8000510034445343,3.8000464645117242
53.0,1.1999522823020052,1.1999495566009326,1.1999540269461029,3.8000477176979945,3.8000504433990674,3.800045973053897
53.5,1.1999525558849422,1.1999498504268076,1.1999542844440128,3.800047444115058,3.8000501495731926,3.8000457155559872
54.0,1.1999530660465851,1.1999503989580935,1.199954767302629,3.800046933953415,3.8000496010419065,3.800045232697371
54.5,1.1999533340032795,1.199950686279135,1.1999550198845408,3.8000466659967205,3.800049313720865,3.800044980115459
55.0,1.1999538334168802,1.1999512224028468,1.1999554931907035,3.8000461665831198,3.800048777597153,3.8000445068092965
55.5,1.1999540955297396,1.1999515030396768,1.1999557406101968,3.8000459044702604,3.800048496960323,3.800044259389803
56.0,1.1999545841326307,1.199952026789763,1.199956204241242,3.8000454158673693,3.800047973210237,3.800043795758758
56.5,1.1999548404512903,1.1999523008456028,1.1999564465088923,3.8000451595487097,3.800047699154397,3.8000435534911077
57.0,1.199955318421826,1.199952812505257,1.1999569005760626,3.800044681578174,3.800047187494743,3.800043099423937
