datetime;Level 101 (m);Level 102 (m);Level 103(m)
23/02/2024;-0,0007;0,0013;-0,0003
23/02/2024;-0,0011;0,001;-0,0005
23/02/2024;-0,0009;0,0008;-0,0004
23/02/2024;-0,0012;0,0006;-0,0005
23/02/2024;-0,0006;0,0011;-0,0002
23/02/2024;0;0,0015;0,0002
23/02/2024;-0,0005;0,0014;-0,0001
23/02/2024;-0,0013;0,0004;0,0013
23/02/2024;0,0009;0,0033;0,0009
23/02/2024;-0,0024;-0,0008;-0,0034
23/02/2024;-0,0002;0,0014;0
23/02/2024;-0,0004;0,0013;-0,0004
23/02/2024;-0,0009;0,0004;-0,0002
23/02/2024;-0,0013;0;-0,0003
23/02/2024;-0,0018;-0,0004;-0,0005
23/02/2024;-0,0017;-0,0005;-0,0004
23/02/2024;-0,0015;-0,0006;-0,0005
23/02/2024;-0,0018;-0,0005;-0,0008
23/02/2024;-0,0014;0;-0,0041
23/02/2024;-0,0015;-0,0005;-0,0029
23/02/2024;-0,0012;0,0002;-0,0008
23/02/2024;-0,0013;0,0004;-0,0005
23/02/2024;-0,0011;0,0005;-0,002
23/02/2024;-0,0012;0,0005;-0,0022
23/02/2024;-0,001;0,0006;-0,0019
23/02/2024;-0,001;0,0008;-0,0019
23/02/2024;-0,0016;0,0001;-0,0024
23/02/2024;-0,0019;0,0002;-0,0025
23/02/2024;-0,0016;0,0002;-0,0027
23/02/2024;-0,0016;0,0003;-0,0026
23/02/2024;-0,0015;0,0004;-0,0026
23/02/2024;-0,0015;0,0002;-0,0027
23/02/2024;-0,0015;0,0005;-0,0025
23/02/2024;-0,0013;0,0007;-0,0024
23/02/2024;-0,0012;0,0008;-0,0025
23/02/2024;-0,0009;0,0011;-0,0031
23/02/2024;-0,0013;0,0009;0,8226
23/02/2024;-0,0013;0,0009;0,8531
23/02/2024;-0,001;0,0014;0,8652
23/02/2024;-0,0025;0,001;0,8713
23/02/2024;-0,0009;0,0002;0,8891
23/02/2024;0,0006;0,321;0,8816
23/02/2024;0,6651;0,3134;0,8819
23/02/2024;0,6659;0,3212;0,8834
23/02/2024;0,6664;0,3293;0,8842
23/02/2024;0,6663;0,3351;0,8842
23/02/2024;0,6683;0,3443;0,8867
23/02/2024;0,6701;0,3502;0,8885
23/02/2024;0,672;0,3666;0,8904
23/02/2024;0,6734;0,3776;0,8918
23/02/2024;0,6757;0,3848;0,894
23/02/2024;0,6771;0,3904;0,8956
23/02/2024;0,6786;0,3948;0,8969
23/02/2024;0,6798;0,3979;0,8988
23/02/2024;0,6805;0,3989;0,8997
23/02/2024;0,6812;0,3987;0,9008
23/02/2024;0,6815;0,4008;0,9013
23/02/2024;0,683;0,4029;0,9019
23/02/2024;0,6844;0,4043;0,9028
23/02/2024;0,6852;0,4055;0,9039
23/02/2024;0,686;0,4064;0,9037
23/02/2024;0,6871;0,408;0,9034
23/02/2024;0,6885;0,4086;0,9037
23/02/2024;0,6892;0,4094;0,9039
23/02/2024;0,6901;0,4109;0,9046
23/02/2024;0,6914;0,4119;0,9052
23/02/2024;0,6918;0,4128;0,9058
23/02/2024;0,6926;0,4143;0,9063
23/02/2024;0,6943;0,4154;0,9066
23/02/2024;0,6955;0,4167;0,9076
23/02/2024;0,6958;0,4174;0,9076
23/02/2024;0,6974;0,4192;0,909
23/02/2024;0,6982;0,4222;0,91
23/02/2024;0,6989;0,4231;0,9101
23/02/2024;0,6996;0,4242;0,9115
23/02/2024;0,7014;0,4253;0,9131
23/02/2024;0,7022;0,426;0,914
23/02/2024;0,7037;0,4274;0,915
23/02/2024;0,7056;0,4281;0,9166
23/02/2024;0,7071;0,4294;0,9183
