time_hours,LTC 1 (x=8.0m)_elevation_m,LTC 2 (x=10.0m)_elevation_m,LTC 3 (x=12.5m)_elevation_m,LTC 1 (x=8.0m)_depth_m,LTC 2 (x=10.0m)_depth_m,LTC 3 (x=12.5m)_depth_m
0.0,1.2,1.2,1.2,3.8,3.8,3.8
1.0,1.199211904626434,1.1986618490248486,1.19963996584876,3.8007880953735658,3.8013381509751514,3.80036003415124
2.0,1.199641928020302,1.1993510313113631,1.199817263388059,3.800358071979698,3.8006489686886367,3.8001827366119407
3.0,1.199744172635619,1.1995434909462324,1.1998550608556224,3.800255827364381,3.8004565090537676,3.800144939144378
4.0,1.1997932936466877,1.1996436345370902,1.1998729431434771,3.800206706353312,3.8003563654629096,3.800127056856523
5.0,1.1998245528541909,1.1997087115559084,1.1998850065459314,3.800175447145809,3.8002912884440914,3.8001149934540686
6.0,1.199847170144012,1.1997553265912404,1.1998944959510622,3.800152829855988,3.8002446734087596,3.800105504048938
7.0,1.1998646393490668,1.1997904527204133,1.1999024907131535,3.800135360650933,3.8002095472795867,3.8000975092868465
8.0,1.1998785568922135,1.19981775560127,1.1999093292482084,3.8001214431077868,3.80018224439873,3.800090670751792
9.0,1.1998899503425293,1.1998394267007422,1.1999153147403157,3.8001100496574707,3.800160573299258,3.8000846852596846
10.0,1.1998994143202697,1.1998569199972637,1.199920574851205,3.80010058567973,3.8001430800027363,3.800079425148795
11.0,1.1999073728388439,1.1998712454281901,1.1999252160272187,3.800092627161156,3.80012875457181,3.8000747839727813
12.0,1.1999141371225308,1.1998831259987666,1.1999293278455199,3.800085862877469,3.800116874001233,3.8000706721544804
13.0,1.1999198539494365,1.199893055446788,1.1999328639436349,3.8000801460505635,3.800106944553212,3.800067136056365
14.0,1.1999248375594056,1.1999014638675936,1.1999360894037583,3.8000751624405944,3.8000985361324062,3.8000639105962417
15.0,1.1999291934667242,1.1999086598392608,1.199938997944325,3.8000708065332756,3.8000913401607392,3.800061002055675
16.0,1.1999330276265217,1.1999148735971221,1.1999416278927963,3.8000669723734783,3.8000851264028777,3.8000583721072037
17.0,1.1999364261385297,1.1999202843170864,1.1999440155577623,3.80006357386147,3.8000797156829136,3.8000559844422375
18.0,1.1999394532973189,1.1999250488106057,1.1999461856117526,3.800060546702681,3.8000749511893943,3.8000538143882476
19.0,1.1999421597908362,1.1999292243923085,1.1999481634932962,3.800057840209164,3.8000707756076917,3.8000518365067038
20.0,1.19994460431314,1.1999329369616445,1.1999499839128482,3.8000553956868597,3.8000670630383553,3.8000500160871518
